,City,Latitude,Longitude,Temperature,% Humidity,% Cloudiness,Wind Speed (mph)
0,umm lajj,25.0213,37.2685,75.4,61,0,6.44
1,atuona,-9.8,-139.0333,79.03,78,29,13.44
2,busselton,-33.65,115.3333,69.33,53,0,10.65
3,half moon bay,37.4636,-122.4286,49.5,62,0,28.77
4,lincoln,40.8,-96.667,55.67,43,2,3.0
5,vuktyl,63.8567,57.3094,37.22,99,100,9.46
6,ilulissat,69.2167,-51.1,19.63,83,100,2.64
7,eravur,7.7733,81.6095,79.74,79,99,3.78
8,hilo,19.7297,-155.09,74.1,90,100,3.0
9,oksfjord,70.2396,22.3479,33.87,97,100,11.7
10,yumen,40.2833,97.2,45.57,12,3,8.7
11,albany,42.6001,-73.9662,51.55,55,92,4.36
12,isangel,-19.55,169.2667,84.54,69,7,11.97
13,fano,43.8204,13.0121,49.37,68,49,5.23
14,kavieng,-2.5744,150.7967,85.62,64,55,8.59
15,ushuaia,-54.8,-68.3,40.66,81,0,2.3
16,sao filipe,14.8961,-24.4956,70.34,74,100,8.88
17,batagay-alyta,67.8006,130.4114,10.47,69,87,3.09
18,kahului,20.8947,-156.47,80.89,69,40,23.02
19,parvatsar,26.8833,74.7667,80.29,21,100,9.95
20,cape town,-33.9258,18.4232,66.56,58,0,3.44
21,yellowknife,62.456,-114.3525,14.52,57,20,17.27
22,lorengau,-2.0226,147.2712,85.68,65,8,9.64
23,otane,-39.8833,176.6333,72.01,56,100,3.44
24,panji,-7.7253,114.0995,84.06,53,14,1.43
25,abilene,32.4487,-99.7331,76.39,21,0,4.61
26,margate,51.3813,1.3862,48.45,82,100,1.99
27,grants,35.1473,-107.8514,61.03,20,0,17.27
28,harlingen,26.1906,-97.6961,77.49,91,76,15.68
29,grandview,38.8858,-94.533,56.39,67,0,7.92
30,xining,36.6167,101.7667,44.01,31,24,4.92
31,proletarsk,46.7031,41.7192,50.56,78,47,11.52
32,vila franca do campo,37.7167,-25.4333,61.21,96,90,8.23
33,mataura,-46.1927,168.8643,55.47,53,69,8.75
34,punta arenas,-53.15,-70.9167,42.91,70,0,16.11
35,micheweni,-4.9667,39.8333,79.97,82,80,9.95
36,metro,-5.1131,105.3067,82.31,70,100,2.39
37,port alfred,-33.5906,26.891,66.18,89,100,3.0
38,hobart,-42.8794,147.3294,62.96,55,20,11.5
39,kamen-na-obi,53.7884,81.3423,34.14,58,2,9.89
40,jamestown,42.097,-79.2353,52.93,70,100,9.22
41,georgetown,5.4112,100.3354,80.42,87,20,5.01
42,marsh harbour,26.5412,-77.0636,71.06,62,0,17.72
43,mar del plata,-38.0023,-57.5575,56.03,90,0,5.99
44,bluff,-46.6,168.3333,55.8,60,99,23.22
45,sola,-13.8833,167.55,82.38,69,8,5.95
46,pathein,16.7833,94.7333,87.08,54,3,10.36
47,nemuro,43.3236,145.575,43.27,83,31,13.13
48,oranjestad,12.524,-70.027,80.55,78,20,21.85
49,nikolskoye,59.7035,30.7861,31.06,93,100,3.04
50,puerto ayora,-0.7393,-90.3518,77.56,95,80,4.0
51,pinega,64.7001,43.3936,31.3,97,99,5.06
52,hofn,64.2539,-15.2082,34.36,93,100,14.54
53,rikitea,-23.1203,-134.9692,79.03,72,2,15.84
54,sur,22.5667,59.5289,83.01,36,0,4.0
55,lazaro cardenas,17.9583,-102.2,76.26,85,43,6.31
56,port elizabeth,-33.918,25.5701,66.31,87,0,8.05
57,qaqortoq,60.7167,-46.0333,32.16,52,97,14.58
58,erdenet,49.0333,104.0833,27.03,66,17,3.85
59,esperance,-33.8667,121.9,67.84,81,77,18.23
60,aden,12.7794,45.0367,79.95,76,9,5.39
61,chifeng,42.2683,118.9636,47.3,22,3,12.44
62,bredasdorp,-34.5322,20.0403,64.13,72,1,2.86
63,atbasar,51.8,68.3333,38.86,61,100,15.26
64,upernavik,72.7868,-56.1549,13.89,95,100,8.66
65,gat,31.61,34.7642,53.76,100,10,6.82
66,saint george,37.1041,-113.5841,73.99,18,0,34.52
67,goderich,43.7501,-81.7165,46.72,87,100,8.05
68,saskylakh,71.9167,114.0833,-0.83,93,96,1.92
69,acarau,-2.8856,-40.12,77.74,86,100,7.94
70,bollnas,61.3482,16.3946,30.54,86,58,5.59
71,vaini,-21.2,-175.2,86.16,74,75,16.11
72,tiksi,71.6872,128.8694,0.75,90,99,5.86
73,bairnsdale,-37.8333,147.6167,64.06,52,56,5.01
74,agadez,19.75,10.25,81.97,7,0,6.73
75,westport,41.1415,-73.3579,47.79,65,100,5.01
76,maldonado,-34.6667,-54.9167,63.79,94,47,7.47
77,longyearbyen,78.2186,15.6401,4.84,72,0,3.44
78,chuy,-33.6971,-53.4616,65.79,94,0,4.56
79,avarua,-21.2078,-159.775,80.65,83,20,5.75
80,turayf,31.6725,38.6637,52.05,82,0,13.8
81,doka,13.5167,35.7667,84.15,42,95,13.49
82,chokurdakh,70.6333,147.9167,9.7,87,100,11.18
83,hasaki,35.7333,140.8333,73.8,75,0,14.94
84,pundaguitan,6.3711,126.1689,83.39,73,90,11.79
85,geraldton,-28.7667,114.6,64.81,68,0,6.91
86,prainha,-1.8,-53.48,74.25,97,90,2.55
87,codrington,-38.2667,141.9667,61.36,48,65,9.69
88,laguna,38.421,-121.4238,58.57,30,40,11.5
89,kapaa,22.0752,-159.319,80.47,72,28,5.01
90,sitka,57.0531,-135.33,32.54,40,49,23.04
91,torbay,47.6666,-52.7314,34.25,91,100,21.85
92,castro,-24.7911,-50.0119,62.96,97,98,2.73
93,kiunga,-6.1219,141.2906,88.7,61,99,2.35
94,hermanus,-34.4187,19.2345,66.33,63,77,6.73
95,airai,-8.9266,125.4092,76.35,37,16,1.39
96,mahebourg,-20.4081,57.7,77.29,83,40,11.5
97,west bay,19.3667,-81.4167,79.48,78,20,9.22
98,nacala,-14.5428,40.6728,72.77,97,12,5.86
99,dalmatovo,56.26,62.9362,33.67,88,100,7.94
100,tasiilaq,65.6145,-37.6368,12.25,84,100,4.56
101,hami,42.8,93.45,52.18,12,5,20.02
102,severo-kurilsk,50.6789,156.125,31.48,79,33,5.95
103,celestun,20.8667,-90.4,85.48,51,0,15.5
104,shimoda,34.6667,138.95,71.96,65,0,10.2
105,breves,-1.6822,-50.4803,74.43,97,100,6.46
106,preobrazheniye,42.9019,133.9064,47.88,81,100,3.36
107,suntar,62.1444,117.6319,28.92,82,95,3.89
108,san patricio,28.017,-97.5169,74.35,91,100,12.64
109,saldanha,-33.0117,17.9442,66.02,56,0,5.97
110,singarayakonda,15.25,80.0333,82.45,77,60,9.69
111,tuktoyaktuk,69.4541,-133.0374,3.2,72,0,4.61
112,alto piquiri,-24.0281,-53.4406,72.21,90,83,11.23
113,gizo,-8.103,156.8419,84.15,70,80,3.58
114,ilo,-17.6394,-71.3375,65.73,80,48,7.36
115,tambo,-14.8,-73.9167,36.14,61,5,3.51
116,pochutla,15.7432,-96.4661,81.82,70,16,5.84
117,sao felix do xingu,-6.6447,-51.995,72.34,98,35,1.23
118,cockburn town,21.4612,-71.1419,76.41,79,99,27.81
119,yulara,-25.2406,130.9889,91.24,21,53,11.5
120,pevek,69.7008,170.3133,-6.66,85,5,7.45
121,new norfolk,-42.7826,147.0587,60.15,51,68,3.0
122,constitucion,-35.3333,-72.4167,53.98,68,100,9.31
123,constanza,47.6603,9.1758,40.06,77,98,1.99
124,victoria,22.2855,114.1577,79.14,78,0,4.0
125,hun,29.1268,15.9477,57.22,52,1,10.58
126,ixtapa,20.7,-105.2,75.22,88,2,4.0
127,verkhnyaya inta,65.9811,60.3094,35.82,100,100,6.11
128,barrow,71.2906,-156.7887,27.07,87,100,10.51
129,coquimbo,-29.9533,-71.3436,55.13,94,0,4.61
130,broken hill,-31.95,141.4333,73.11,46,3,11.5
131,la tuque,47.4334,-72.7824,44.85,57,100,5.75
132,grand haven,43.0631,-86.2284,43.03,70,91,3.29
133,cabo san lucas,22.8909,-109.9124,71.65,64,0,10.0
134,khatanga,71.9667,102.5,-6.12,99,100,0.29
135,denizli,37.8402,29.0698,40.28,88,56,3.33
136,faya,18.3851,42.4509,59.52,48,0,3.83
137,santa rosa,14.3122,121.1114,83.3,73,100,2.59
138,souillac,-20.5167,57.5167,77.38,83,40,11.5
139,hamilton,39.1834,-84.5333,57.06,92,100,8.05
140,ust-kuyga,70.0167,135.6,10.15,81,100,4.56
141,stony plain,53.5334,-114.0021,24.58,51,40,21.85
142,buchanan,5.8808,-10.0467,79.48,89,90,5.01
143,opunake,-39.4556,173.8583,70.45,70,100,12.93
144,gamba,-2.65,10.0,77.05,91,100,4.59
145,dikson,73.5069,80.5464,13.57,91,100,23.96
146,havoysund,70.9963,24.6622,34.03,89,100,21.27
147,caravelas,-17.7125,-39.2481,75.63,84,0,2.17
148,vila velha,-20.3297,-40.2925,75.94,91,40,2.3
149,bonthe,7.5264,-12.505,78.28,90,99,5.14
150,beloha,-25.1667,45.05,71.38,85,100,12.55
151,bambous virieux,-20.3428,57.7575,77.25,83,40,11.5
152,nadym,65.5333,72.5167,34.54,100,100,10.87
153,lompoc,34.6391,-120.4579,52.52,65,0,25.32
154,innisfail,-17.5333,146.0333,81.1,85,72,10.07
155,vestmannaeyjar,63.4427,-20.2734,41.22,72,100,21.39
156,hithadhoo,-0.6,73.0833,83.28,68,15,11.54
157,ponta do sol,32.6667,-17.1,59.59,72,49,12.15
158,alofi,-19.0595,-169.9187,84.09,74,52,3.44
159,shubarkuduk,49.1447,56.4872,46.22,91,0,5.03
160,vostok,46.4856,135.8833,35.49,99,100,2.82
161,lerwick,60.1545,-1.1494,42.8,73,100,19.51
162,awbari,26.5921,12.7805,68.16,25,88,15.08
163,sinegorye,62.0788,150.477,5.76,84,51,3.6
164,salalah,17.0151,54.0924,77.58,65,0,1.95
165,provideniya,64.3833,-173.3,30.31,80,100,18.01
166,lebu,-37.6167,-73.65,50.86,86,57,2.77
167,sechura,-5.5569,-80.8222,70.61,80,77,14.58
168,pangai,-19.8,-174.35,86.11,66,40,9.22
169,osmena,10.5208,119.9258,77.54,84,100,14.58
170,marawi,7.9986,124.2928,75.22,77,100,5.86
171,teruel,40.6667,-0.6667,43.63,69,95,2.86
172,amahai,-3.3333,128.9167,82.51,74,100,1.52
173,plettenberg bay,-34.0527,23.3716,67.48,63,0,4.68
174,gazanjyk,39.2446,55.5154,63.84,56,10,10.18
175,buckingham,51.9997,-0.9878,50.05,62,100,58.0
176,qaanaaq,77.484,-69.3632,-8.34,68,26,6.11
177,dunedin,-45.8742,170.5036,56.8,65,100,8.01
178,campamento,14.55,-86.65,72.52,77,76,5.88
179,durg,21.1833,81.2833,80.78,36,68,12.3
180,ribeira grande,38.5167,-28.7,60.64,92,100,11.12
181,gweta,-20.1833,25.2333,68.58,72,3,8.55
182,ancud,-41.8697,-73.8203,46.22,84,12,6.58
183,china,25.7,-99.2333,82.31,60,15,18.52
184,malpe,13.35,74.7167,81.7,84,100,3.51
185,kayes,14.0,-11.0,91.94,10,8,4.47
186,aklavik,68.2191,-135.0107,16.66,85,10,9.04
187,saint-philippe,-21.3585,55.7679,72.64,86,94,17.16
188,poum,-20.2333,164.0167,79.88,75,26,13.33
189,tromso,69.6496,18.957,32.38,75,100,5.75
190,kralendijk,12.15,-68.2667,79.0,87,99,21.52
191,norman wells,65.282,-126.8329,17.64,32,20,8.05
192,arlit,18.7369,7.3853,83.79,8,7,5.03
